"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.609748	1	1.04037	0.970588	0.000665319	0.0585174	0.000172991	12.4444	-0.0582285	15.7009	45.3593	152.291	50.9541	47.0661	42.3245	214.337	219.309	53.7102	321.115	315.298	50.9919
0.636866	0	1.04632	0.956072	0	0.0626977	0.000188447	12.4285	-0.057459	16.1205	45.9127	155.267	22.5642	22.3919	11.0953	219.587	226.851	68.4073	332.021	318.516	72.9724
0.651364	0	1.02794	0.977215	0	0.0406569	4.88569e-05	12.5207	-0.0572383	16.5013	45.9761	160.885	23.5327	21.9896	26.5626	179.807	201.961	82.6672	310.906	306.246	69.8405
0.73344	0	1.06225	0.950413	0	0.0636022	0.000173289	11.2443	-0.0592813	16.5417	44.5722	143.301	25.0139	24.2812	18.801	267.969	259.98	86.1568	286.838	267.53	75.1119
0.691852	3	1.08509	0.938838	0.00102545	0.074608	0.000375139	15.4613	-0.043714	21.4134	61.0285	255.722	22.6393	17.386	36.1705	216.392	232.248	76.599	339.879	343.179	69.5771
0.725668	0	1.05122	0.969697	0	0.0538377	0.000127409	13.7274	-0.0488968	19.9514	54.0074	214.22	8.65348	8.77734	4.36868	156.449	160.031	40.7513	260.025	249.959	39.4145
0.741019	0	1.06938	0.969453	0	0.0595773	0.0001396	14.7642	-0.0445036	21.9874	59.5613	253.451	46.2834	50.3599	55.6874	198.434	198	60.6991	166.298	163.441	34.0634
0.674341	0	1.03905	0.973046	0	0.0540775	0.000110356	11.9624	-0.0585618	16.2	45.0122	151.312	17.3754	17.7368	18.9675	180.833	178.645	40.4468	276.056	262.36	66.7063
0.612813	0	1.03262	0.959654	0	0.0539374	0.000139471	11.9033	-0.0613857	15.0632	42.9463	138.67	21.6323	22.3153	11.2742	240.308	239.498	73.6476	260.047	253.339	50.8527
0.202546	0	1.0182	0.96817	0	0.0234536	5.31137e-05	13.8202	-0.0595882	14.1127	44.547	152.532	17.0751	17.2329	6.25757	220.543	221.521	56.3045	283.305	263.764	40.9827
