"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.446901	0	1.0114	0.978528	0	0.0273674	4.08172e-05	12.3441	-0.0636835	13.7987	41.3151	133.201	11.3162	11.326	4.0856	18.0102	18.2069	3.7711	619.193	590.859	105.022
0.875943	0	1.13792	0.962585	0	0.0893146	0.000160337	8.53976	-0.0620113	17.7021	42.3716	118.492	50.5578	46.4982	39.4149	27.2995	26.1484	4.17938	644.31	602.929	101.89
0.642507	0	1.03145	0.960674	0	0.0528133	0.000145087	8.41743	-0.0839707	10.9848	31.3266	74.2574	59.5475	59.5614	28.3196	23.3821	23.3684	7.8687	729.228	696.532	135.428
0.679177	0	1.05483	0.980769	0	0.0706471	0.000239976	9.02958	-0.0773381	12.3023	34.1052	84.8374	40.9705	41.6667	19.5468	27.4774	27.8235	10.1772	655.555	640.529	149.104
0.326136	0	1.00731	0.981693	0	0.0227372	3.60388e-05	14.7115	-0.0549972	15.5624	47.8127	179.481	9.78625	10.4895	5.0208	20.9594	21.1142	4.18369	745.466	676.879	126.772
0.792061	0	1.06609	0.974545	0	0.0663845	0.000106503	9.34838	-0.0666937	15.3141	39.4472	112.491	13.3394	15.8694	23.1305	15.3204	14.6306	3.04303	574.758	545.22	86.3409
0.713008	0	1.03703	0.976526	0	0.0463488	4.80279e-05	12.4768	-0.0545683	17.7946	48.2044	174.702	15.5312	16.0264	7.11298	14.4455	14.1683	2.9232	611.093	552.873	116.774
0.66805	0	1.02799	0.974074	0	0.0451113	6.55047e-05	10.2281	-0.0691567	13.7453	38.0062	110.107	11.0203	11.2433	5.12605	79.1651	77.0266	8.37226	285.384	272.548	32.7687
0.861197	0	1.12158	0.96817	0	0.0789661	0.000100302	9.95525	-0.0546874	19.5865	47.9493	154.562	23.6553	22.0904	36.878	33.5247	32.2521	4.82177	435.254	410.915	76.8273
0.487057	0	1.0186	0.964789	0	0.0360935	6.75926e-05	11.3305	-0.0682154	12.9733	38.6804	115.24	25.6568	22.1679	9.40117	18.4719	18.7117	3.30624	546.178	508.898	76.6548
0.649635	0	1.02831	0.976793	0	0.0425747	4.8389e-05	13.7231	-0.0519515	18.0508	50.5879	194.695	216.229	220.685	77.9225	23.3258	22.7063	3.65091	623.482	566.525	102.267
0.709068	0	1.03462	0.977564	0	0.0496598	5.95247e-05	10.7196	-0.0644539	15.2021	40.7347	125.255	28.2283	28.2131	20.6504	25.9307	25.7115	4.20941	720.738	674.748	153.016
0.661699	0	1.0302	0.962264	0	0.0417603	5.54329e-05	12.7858	-0.0552916	17.053	47.6404	171.933	27.3167	27.6814	44.2993	10.5486	10.174	1.95316	477.266	437.86	71.6396
